"region_id";"region";"tdwg4_id";"tdwg4_name"
29;"Aunuu";"SAM-AS";"American Samoa"
30;"Ofu";"SAM-AS";"American Samoa"
31;"Olosega";"SAM-AS";"American Samoa"
32;"Swains";"TOK-SW";"Swains I."
33;"Tau";"SAM-AS";"American Samoa"
34;"Tutuila";"SAM-AS";"American Samoa"
291;"Aitutaki, Cook Islands";"COO-OO";"Cook Is."
292;"Atiu, Cook Islands";"COO-OO";"Cook Is."
293;"Mangaia, Cook Islands";"COO-OO";"Cook Is."
294;"Mauke, Cook Islands";"COO-OO";"Cook Is."
295;"Manuae, Cook Islands";"COO-OO";"Cook Is."
296;"Manihiki, Cook Islands";"TOK-MA";"Manihiki Is."
297;"Mitiaro, Cook Islands";"COO-OO";"Cook Is."
298;"Nassau, Cook Islands";"TOK-MA";"Manihiki Is."
299;"Palmerston, Cook Islands";"COO-OO";"Cook Is."
300;"Penrhyn, Cook Islands";"TOK-MA";"Manihiki Is."
301;"Pukapuka, Cook Islands";"TOK-MA";"Manihiki Is."
302;"Rarotonga, Cook Islands";"COO-OO";"Cook Is."
303;"Rakahanga, Cook Islands";"TOK-MA";"Manihiki Is."
304;"Suwarrow, Cook Islands";"TOK-MA";"Manihiki Is."
305;"Takutea, Cook Islands";"COO-OO";"Cook Is."
332;"Aiwa, Lau Islands";"FIJ-OO";"Fiji"
333;"Lakeba, Lau Islands";"FIJ-OO";"Fiji"
334;"Nasoata, Fiji Islands";"FIJ-OO";"Fiji"
335;"Nayau, Lau Islands";"FIJ-OO";"Fiji"
336;"Rotuma";"FIJ-OO";"Fiji"
361;"Guam";"MRN-GU";"Guam"
419;"Kiritimati, Northern Line Islands";"LIN-KI";"Kiribati Line Is."
420;"Palmyra, Norther Line Islands";"LIN-KI";"Kiribati Line Is."
421;"Canton, Phoenix Islands";"PHX-OO";"Phoenix Is."
422;"Enderbury, Phoenix Islands";"PHX-OO";"Phoenix Is."
423;"Gardner, Phoenix Islands";"PHX-OO";"Phoenix Is."
424;"Hull, Phoenix Islands";"PHX-OO";"Phoenix Is."
425;"McKean, Phoenix Islands";"PHX-OO";"Phoenix Is."
426;"Sydney, Phoenix Islands";"PHX-OO";"Phoenix Is."
427;"Tabueran";"LIN-KI";"Kiribati Line Is."
428;"Teraina, Norther Line Islands";"LIN-KI";"Kiribati Line Is."
477;"Ailinginae Atoll";"MRS-OO";"Marshall Is."
478;"Eniwetok, Mashall Islands";"MRS-OO";"Marshall Is."
479;"Majuro Atoll, Marshall Islands";"MRS-OO";"Marshall Is."
480;"Rongelap Atoll";"MRS-OO";"Marshall Is."
484;"Alamagan, Marianas";"MRN-NM";"Northern Marianas"
485;"Agrihan, Marianas";"MRN-NM";"Northern Marianas"
486;"Asuncion Island, Marianas";"MRN-NM";"Northern Marianas"
487;"Aguijan, Marianas";"MRN-NM";"Northern Marianas"
488;"Anatahan, Marianas";"MRN-NM";"Northern Marianas"
489;"Farallon de Pajaros, Marianas";"MRN-NM";"Northern Marianas"
490;"Guguan, Marianas";"MRN-NM";"Northern Marianas"
491;"Maug Islands, Marianas";"MRN-NM";"Northern Marianas"
