Island_Phrase_Delet;Island_Asign_Submit;Island_Asign_Return;Island_to_Group;Group_from_Island;Group_to_Group;Group_from_Group;Island_final_Submit;Group_final_Asign
 French Polynesia*;Eniwetok;Enewetak;Sonsorol;Southern Palau;Manua;Samoa;Pearl & Hermes;NW Hawaiian
 Polynesia*;Tahaa;Taha'a;Belep;New Caledonia;Vanuatu;New Hebrides;Aunu'u;Samoa
\\s*\\([^\\)]+\\);Tabueran;Tabuaeran;Bonins;Bonin;Admiralty;Solomon_Bismark;Ofu;Samoa
 Cook Islands;Mauke;Ma'uke;Bonin;Bonin;Kermandec;Kermadec;Olosega;Samoa
 Atoll;Maugs;Maug;Solomons;Solomon_Bismark;Northern Mariana;Mariana;Swains;Tokelau
 Lau Islands;Nuutela;Nu'utele;Bismarcks;Solomon_Bismark;Jarvis;Line;Ta'u;Samoa
 Chile;Canton;Kanton;Bismarks;Solomon_Bismark;Midway;NW Hawaiian;Tutuila;Samoa
,*;Ka'ula Rock;Ka'ula;Solomon;Solomon_Bismark;Society Islands;Society;Aitutaki;Southern Cook
 Marianas;New Caledonia;Grande Terre;Bismarck;Solomon_Bismark;Admiralty Islands;Solomon_Bismark;Atiu;Southern Cook
 Phoenix Islands;Hatutaa;Hatuta'a;Bismark;Solomon_Bismark;Fiji Islands;Fiji;Mangaia;Southern Cook
 Northern Lines;Aunuu;Aunu'u;Galapagos;Galapagos;Solomon Islands;Solomon_Bismark;Ma'uke;Southern Cook
 Marshalls;Mitiaro;Miti'aro;Fijis;Fiji;Temotu Islands;Solomon_Bismark;Manuae;Southern Cook
 Fijis;Bellingshausen;Motu One;Fiji;Fiji;Western Samoa Islands;Samoa;Manihiki;Northern Cook
 Volcan;Sydney;Manra;Philippines;Philippines;Line Islands;Line;Miti'aro;Southern Cook
 Republic of;Tau;Ta'u;Philippine;Philippines;Palau Islands;NA;Nassau;Northern Cook
